ID,Job Position
"analyst,-performance-measure","Analyst, Performance Measure"
"assistant-deputy-minister,-quebec-region","Assistant Deputy Minister, Quebec Region"
administrative-liaison-coord,Administrative Liaison Coord
admin-advisor-services,Admin Advisor Services
communications-marketing-offcr,Communications Marketing Offcr
senior-operations-manager,Senior Operations Manager
researcher/-analyst,Researcher/ Analyst
senior-advisor-ops-admin-fin,Senior advisor Ops Admin fin
business-support-assistant,Business Support Assistant
operational-admin-fin-coord,Operational Admin Fin Coord
"asst,-ppt-print-centre-support","Asst, PPT Print Centre Support"
admin.-business-supp.-offcr.,Admin. Business Supp. Offcr.
regional-training-officer,Regional Training Officer
sr-consultant-serv-delivery,Sr Consultant Serv Delivery
support-clerks,Support Clerks
web-analyst-officer,Web Analyst Officer
chief-cost-analysis-reports,Chief Cost Analysis Reports
"manager,-operations","Manager, Operations"
region-finances-group-manager,Region Finances Group Manager
"jr-officer,-real-property-proj","Jr Officer, Real Property Proj"
"sr-analyst,-business-analysis","Sr Analyst, Business Analysis"
mgr-comp-prog-umcc-secreteriat,Mgr Comp Prog UMCC Secreteriat
"manager,-client-services","Manager, Client Services"
financial-analyst-post-audit,Financial Analyst Post Audit
sr-coordinator-exec-committe,Sr Coordinator Exec Committe
integrity-serv-investigator,Integrity Serv Investigator
assistant-business-anlayst,Assistant Business Anlayst
citizen-services-officer,Citizen Services Officer
passport-clerk,Passport Clerk
manager-financial-management,Manager Financial Management
insurance-services-officer,Insurance Services Officer
"manager,-accounting-operations","Manager, Accounting Operations"
information-system-officer,Information System Officer
programmer-analyst-application,Programmer Analyst Application
operations-analyst,Operations Analyst
jr-health-safety-prog-offcr,Jr Health Safety Prog Offcr
"training-officer,-ohs","Training Officer, OHS"
administrative-assistant-dg,Administrative Assistant DG
mgr-policy-&-prog-dev-ctr-agen,Mgr Policy & Prog Dev Ctr Agen
"officer,-program-services","Officer, Program Services"
"officer,-passport","Officer, Passport"
"sr-manager,-sap-coe","Sr Manager, SAP COE"
communications-services-coord.,Communications Services Coord.
"junior-officer,-atip","Junior Officer, ATIP"
mgr-incidt-mgmt-lgl-disclosure,Mgr Incidt Mgmt Lgl Disclosure
special-assistant-dm,Special Assistant DM
driver-/-clerk,Driver / Clerk
"manager,-corporate-resource-management","Manager, Corporate Resource Management"
internal-control-officer,Internal Control Officer
junior-financial-analyst,Junior Financial Analyst
tb-submissions-officer,TB Submissions Officer
junior-internal-control-officr,Junior Internal Control Officr
"coordinator/officer,-project","Coordinator/Officer, Project"
"manager,-project-mgmt-services","Manager, Project Mgmt Services"
"advisor,-project-management","Advisor, Project Management"
pmis-support-officer,PMIS Support Officer
"sr-mgr,-proj-mgmt-&-planning","Sr Mgr, Proj Mgmt & Planning"
resource-planning-officer,Resource Planning Officer
corp-plan-standards-team-l,Corp Plan Standards Team L
case-officer,Case Officer
director-finance,Director Finance
manager-administrative-service,Manager Administrative Service
hr---coordinator,HR - Coordinator
administrative-generalist,Administrative Generalist
manager-corp-correspondence,Manager Corp Correspondence
linguistic-qual-control-offcr,Linguistic Qual Control Offcr
briefing-officer,Briefing Officer
"progmr-analyst,-applicn-dev","Progmr Analyst, Applicn Dev"
"progmr,-applicn-development","Progmr, Applicn Development"
"sr-advisor,-application-dev","Sr Advisor, Application Dev"
tech-adv-it-bus-line-supp-serv,Tech Adv IT Bus Line Supp Serv
"supp-anlst,-infrastructure/ops","Supp Anlst, Infrastructure/Ops"
"supp-tech,-infrastructure/ops","Supp Tech, Infrastructure/Ops"
"manager,-it-bus-line-supp-serv","Manager, IT Bus Line Supp Serv"
"anlst,-it-bus-line-supp-serv","Anlst, IT Bus Line Supp Serv"
team-ldr-it-bus-line-supp-serv,Team Ldr IT Bus Line Supp Serv
"sr-adv,-enterprise-architect","Sr Adv, Enterprise Architect"
"team-leader,-application-dev","Team Leader, Application Dev"
"manager,-applicn-development","Manager, Applicn Development"
forms-analyst,Forms Analyst
electronic-forms-officer,Electronic Forms Officer
client-services-officer,Client Services Officer
admin-support-offcr-italm-serv,Admin Support Offcr ITALM Serv
senior-project-management,Senior Project Management
"finance,-admin-&-hr-officer","Finance, Admin & HR Officer"
"sr.-officer,-quality-control","Sr. Officer, Quality Control"
administrative-services-offcr,Administrative Services Offcr
team-leader-claims-operations,Team Leader Claims Operations
labour-operations-manager,Labour Operations Manager
program-analyst-ii,Program Analyst II
plan-determination-officer,Plan Determination Officer
"clerk,-program-support","Clerk, Program Support"
"clerk,-office-support","Clerk, Office Support"
senior-appeals-officer,Senior Appeals Officer
admin.-resources-officer,Admin. Resources Officer
assistant-project-manager,Assistant Project Manager
account-executive,Account Executive
senior-security-anaylyst,Senior Security Anaylyst
internal-integrity-secur-offcr,Internal Integrity Secur Offcr
payment-services-officer,Payment Services Officer
junior-officer,Junior Officer
hrsc-quality-advisor,HRSC Quality Advisor
senior-manager,Senior Manager
fin-pol-syst-inter-cont-offcr,Fin Pol Syst Inter Cont Offcr
im-it-technical-expert,IM IT Technical Expert
"manager,-infrastructure/ops","Manager, Infrastructure/Ops"
"team-ldr,-infrastructure/ops","Team Ldr, Infrastructure/Ops"
"tech-adv,-infrastructure/ops","Tech Adv, Infrastructure/Ops"
"senior-advisor,-it-security","Senior Advisor, IT Security"
"technical-advisor,-security","Technical Advisor, Security"
"security-analyst,-security","Security Analyst, Security"
"team-leader,-security","Team Leader, Security"
"manager,-security","Manager, Security"
"dir,-project-portfolio-mgmt","Dir, Project Portfolio Mgmt"
"sr-advisor,-app.-development","Sr Advisor, App. Development"
dir-business-technology-serv,Dir Business Technology Serv
"tech-advisor,-db-&-data-admin","Tech Advisor, DB & Data Admin"
"manager,-db-&-data-admin","Manager, DB & Data Admin"
"db-analyst,-db-&-data-admin","DB Analyst, DB & Data Admin"
"team-leader,-db-&-data-admin","Team Leader, DB & Data Admin"
dir-internal-financial-audit,Dir Internal Financial Audit
director-audit,Director Audit
chief-cpp-accounting,Chief CPP Accounting
systems-testing-officer,Systems Testing Officer
manager-program-operations,Manager program operations
program-officer-?-citizen-services-and-program-delivery-branch,Program Officer ? Citizen Services and Program Delivery Branch
mgr-client-prog-delivery-supp,Mgr Client Prog Delivery Supp
"team-leader,-exec.-services","Team Leader, Exec. Services"
"sr-technical-expert,-geomatics","Sr Technical Expert, Geomatics"
"director,-projects-office","Director, Projects Office"
it-accessibility-technical-advisor,IT Accessibility Technical Advisor
senior-financial-anaylst,Senior Financial Anaylst
"anlst,-proj-assur-&-reporting","Anlst, Proj Assur & Reporting"
system-business-administrator,System Business Administrator
linguistic-services-advisor,Linguistic Services Advisor
learning-administrator,Learning Administrator
senior-policy-advisor,Senior Policy Advisor
"senior-manager,-info.-mgmt","Senior Manager, Info. Mgmt"
"mgr,-im/rm-pol,-pla-per.-mgmt","Mgr, IM/RM Pol, Pla-Per. Mgmt"
policy-systems-officer,Policy Systems Officer
"assistant,-im-support","Assistant, IM Support"
"manager,-im/rm-services","Manager, IM/RM Services"
"specialist,-im/rm","Specialist, IM/RM"
"analyst,-im/rm","Analyst, IM/RM"
chief-nhq-records-mail-serv,Chief NHQ Records Mail Serv
"officer,-records-management","Officer, Records Management"
"clerk,-records-management","Clerk, Records Management"
"lead,-im/rm","Lead, IM/RM"
"mgr,-enterprise-architecture","Mgr, Enterprise Architecture"
"tech-adv,-enterprise-architect","Tech Adv, Enterprise Architect"
senior-policy-systems-offcr,Senior Policy systems Offcr
"proj-ldr,-enterprise-architect","Proj Ldr, Enterprise Architect"
"sr-advisor,-liaison/dac","Sr Advisor, Liaison/DAC"
